页码,微博ID,微博BID,微博作者,发布时间,微博内容,转发数,评论数,点赞数,焦虑得分
3,4871192760028137,MtS3207jP,互联网那些事儿v,2023-02-20 12:11:59,#桃李面包中吃出2厘米带锈刀片#有意思！桃李面包据说秒删了回应微博！然后，网友忍不住在其最新的微博动态底下留言调侃，这波究竟是在闹哪般呢？2月19日，多家媒体曝光了一女子在桃李面包中吃出了2厘米长带锈美工刀的事例，引发了不少网友的高度关注，据该女子称，桃李面包涉事问店曾提出了让她免费试 ...全文,59,19,138,8
3,4871190256288094,MtRYZqnOS,四川美食搜索,2023-02-20 12:02:01,【#女子在桃李面包中吃出2厘米带锈刀片#：不要求赔偿 将请第三方介入鉴定】#黑猫投诉# 2月17日，辽宁鞍山，女子发视频称自己在某店内购买了桃李面包的面包，吃出一块2至3公分左右的美工刀刀片。随后，女子联系桃李面包的工作人员，对方表示，生产是没问题的，并给出赔偿方案：以后出新品让女子第一个试 ...全文,0,0,3,5
4,4871054080344218,MtOrm1rxU,爆笑脱口秀名场面,2023-02-20 03:00:55,一女子在桃李面包中吃出带锈刀片：没有证据不能说都是我们的问题 #迷惑行为大赏##轻松一刻##笑声回收计划##搞笑趣事##搞笑视频##拯救不开心##搞笑##搞笑幽默# 爆笑脱口秀名场面的微博视频 ,0,0,1,3
4,4870938631604565,MtLr96Jq5,解体部员,2023-02-19 19:22:10,#女子在桃李面包中吃出2厘米带锈刀片# 雪哥哥你。。。 ,0,0,1,6
4,4870898747709994,MtKoOwlIK,风尘匠,2023-02-19 16:43:41,#女子在桃李面包中吃出2厘米带锈刀片# 查了下热搜发起者背后的资本，发现有家基金公司，不排除机构骗散户筹码的可能 ,0,2,0,6
4,4870890657940548,MtKbLxjHm,心里有只骆驼,2023-02-19 16:11:32,#女子在桃李面包中吃出2厘米带锈刀片#还好 我的桃李面包前天刚吃完 ,0,0,0,2
4,4870890398160134,MtKblyeP4,龙猫自在,2023-02-19 16:10:30,#女子在桃李面包中吃出2厘米带锈刀片#  商家是怎么舔着脸说以后有新品还让人家试吃的，这尼玛有刀片的面包谁敢吃，幸好这位女士比较细致提前发现了，遇到个吃东西猛的一口把刀片咬嘴里是什么后果?桃李是吧，这辈子都要避雷了。 ,2,1,7,8
4,4870888387776960,MtK86wD8Q,依依尔尔1122,2023-02-19 16:02:31,【#女子在桃李面包中吃出2厘米带锈刀片#：不要求赔偿 将请第三方介入鉴定】 《食品安全法》第九十六条规定：“违反本法规定，造成人身、财产或者其他损害的，依法承担赔偿责任。生产不符合食品安全标准的食品或者销售明知是不符合食品安全标准的食品，消费者除要求赔偿损失外，还可以向生产者或者销售 ...全文,0,0,2,6
4,4870886270174187,MtK4H0Jjt,一三青橙子,2023-02-19 15:54:06,#女子在桃李面包中吃出2厘米带锈刀片#  桃李你糊涂啊，我真的很爱吃你们家面包。这下子我得去吃谁家的啊 ,0,0,0,3
5,4870884370940288,MtK1D3WBW,追风老嫂子,2023-02-19 15:46:32,#女子在桃李面包中吃出2厘米带锈刀片#哈哈哈哈哈，我要记住这个年度笑话“出新品让你第一个试吃”哈哈哈哈哈 ,0,0,0,6
5,4870881756582088,MtJXprCiI,花花须折,2023-02-19 15:36:10,#女子在桃李面包中吃出2厘米带锈刀片#  可怕  吓人 ,0,0,0,7
5,4870873410700110,MtJJX2W86,语涵视听,2023-02-19 15:03:00,#女子在桃李面包中吃出2厘米带锈刀片#  太可怕了！ 不可思议！ 这2cm带锈的刀片从哪而来？ #315骗假不留# 沸点视频的微博视频 ,0,1,0,7
